model_name,backend,mode,batch_size,supercell,infer_task,train_task,warmup,repeat,optimizer_step,compile_mode,compile_fullgraph,ms_per_iter,speedup_vs_torch_eager,status,returncode,source_json
matris_10m_oam,torch_eager,inference,1,1,e,ef,3,8,False,reduce-overhead,False,40.51837883889675,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_e_sc1.json
matris_10m_oam,torch_compile,inference,1,1,e,ef,3,8,False,reduce-overhead,False,24.343098513782024,1.6644708896017066,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_e_sc1.json
matris_10m_oam,generated_triton,inference,1,1,e,ef,3,8,False,reduce-overhead,False,52.79680620878935,0.7674399598843813,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_e_sc1.json
matris_10m_oam,torch_eager,inference,1,1,ef,ef,3,8,False,reduce-overhead,False,105.33003369346261,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_ef_sc1.json
matris_10m_oam,torch_compile,inference,1,1,ef,ef,3,8,False,reduce-overhead,False,,,failed,-11,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_ef_sc1.json
matris_10m_oam,generated_triton,inference,1,1,ef,ef,3,8,False,reduce-overhead,False,117.76940571144223,0.894375182222975,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_ef_sc1.json
matris_10m_oam,torch_eager,inference,1,1,efsm,ef,3,8,False,reduce-overhead,False,113.03481599316001,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_efsm_sc1.json
matris_10m_oam,torch_compile,inference,1,1,efsm,ef,3,8,False,reduce-overhead,False,,,failed,-11,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_efsm_sc1.json
matris_10m_oam,generated_triton,inference,1,1,efsm,ef,3,8,False,reduce-overhead,False,117.23610945045948,0.9641638273651958,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_inference_efsm_sc1.json
matris_10m_oam,torch_eager,train,1,1,ef,e,3,8,True,reduce-overhead,False,137.74504978209734,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_oam_train_e_sc1.json
