operator_id,tier,priority,with_fx_initial_success,without_fx_initial_success,with_fx_refine_success,without_fx_refine_success,with_fx_refine_rounds,without_fx_refine_rounds
edge_vector_distance,P0,1,False,False,True,True,4,8
unit_vector,P0,2,False,False,True,True,2,1
cutoff_envelope,P0,3,False,False,True,True,1,2
bessel_rbf,P0,4,False,True,False,True,None,2
gaussian_rbf,P0,5,False,True,True,True,1,1
angle_basis,P0,6,False,False,False,True,None,6
strain_transform,P0,7,False,False,False,False,None,None
segment_sum,P0,8,True,False,True,False,1,None
index_add,P0,9,True,True,True,True,1,1
segment_max,P0,10,False,True,True,True,2,1
segment_softmax,P0,11,False,True,True,True,2,2
graph_pool_sum,P0,12,True,False,True,True,1,1
edge_gather,P1,13,True,True,True,False,1,None
edge_feature_fusion,P1,14,False,False,True,True,2,2
attention_weighted_message,P1,15,False,False,True,False,2,None
node_update_scatter,P1,16,True,True,True,True,1,1
line_graph_update,P1,17,True,False,True,True,3,3
gated_mlp,P1,18,True,False,True,True,1,1
fused_silu,P1,19,True,True,True,True,1,1
fused_sigmoid,P1,20,True,True,True,True,1,1
rmsnorm,P1,21,False,False,False,False,None,None
layernorm,P1,22,False,False,False,False,None,None
linear,P2,23,False,False,True,True,1,8
gemm,P2,24,False,False,True,True,3,4
mlp_block,P2,25,False,False,False,False,None,None
residual_add,P2,26,True,True,True,True,1,1
dropout,P2,27,True,True,True,True,1,1
energy_readout,P2,28,True,False,True,False,2,None
reference_energy_add,P2,29,True,True,True,True,1,1
energy_to_force,force_stress,30,True,True,True,True,1,1
energy_to_stress,force_stress,31,True,False,True,True,1,3
force_loss,force_stress,32,True,False,True,True,1,1
stress_loss,force_stress,33,False,True,True,True,1,1
